event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-07761,deep_moonquake_assigned,1974-02-27T06:27:00,S14,MH1;MH2,1974-058,0,MH1;MH2,,1
levent-07761,deep_moonquake_assigned,1974-02-27T06:27:00,S15,MH1;MH2;MHZ,1974-058,0,MH1;MH2;MHZ,,1
levent-07761,deep_moonquake_assigned,1974-02-27T06:27:00,S16,MH1;MH2;MHZ,1974-058,0,MH1;MH2;MHZ,,1
levent-07768,natural_impact,1974-02-27T17:28:00,S12,MH1;MH2,1974-058,0,MH1;MH2,,1
levent-07768,natural_impact,1974-02-27T17:28:00,S14,MH1;MH2;SHZ,1974-058,0,MH1;MH2;SHZ,,1
levent-07768,natural_impact,1974-02-27T17:28:00,S15,MH1;MH2;MHZ,1974-058,0,MH1;MH2;MHZ,,1
levent-07768,natural_impact,1974-02-27T17:28:00,S16,MH1;MH2;MHZ,1974-058,0,MH1;MH2;MHZ,,1
levent-07828,natural_impact,1974-03-10T00:58:00,S14,MH1;MH2;SHZ,1974-069,0,MH1;MH2;SHZ,,1
levent-07857,natural_impact,1974-03-14T07:34:00,S12,MH1;MH2;MHZ,1974-073,0,MH1;MH2;MHZ,,1
levent-07857,natural_impact,1974-03-14T07:34:00,S14,MH1;MH2;SHZ,1974-073,0,MH1;MH2;SHZ,,1
levent-07857,natural_impact,1974-03-14T07:34:00,S16,MH1;MH2;MHZ,1974-073,0,MH1;MH2;MHZ,,1
levent-07883,natural_impact,1974-03-18T02:46:00,S12,MH1;MH2;MHZ,1974-077,0,MH1;MH2;MHZ,,1
levent-07883,natural_impact,1974-03-18T02:46:00,S14,MH1;MH2,1974-077,0,MH1;MH2,,1
levent-07883,natural_impact,1974-03-18T02:46:00,S15,MH1;MH2;MHZ,1974-077,0,MH1;MH2;MHZ,,1
levent-07883,natural_impact,1974-03-18T02:46:00,S16,MH1;MH2;MHZ,1974-077,0,MH1;MH2;MHZ,,1
levent-07890,natural_impact,1974-03-19T00:40:00,S12,MH1;MH2;MHZ,1974-078,0,MH1;MH2;MHZ,,1
levent-07890,natural_impact,1974-03-19T00:40:00,S14,MH1;MH2;SHZ,1974-078,0,MH1;MH2;SHZ,,1
levent-07890,natural_impact,1974-03-19T00:40:00,S15,MH1;MH2,1974-078,0,MH1;MH2,,1
levent-07890,natural_impact,1974-03-19T00:40:00,S16,MH1;MH2;MHZ;SHZ,1974-078,0,MH1;MH2;MHZ;SHZ,,1
levent-07900,natural_impact,1974-03-22T21:05:00,S12,MH1;MH2,1974-081,0,MH1;MH2,,1
levent-07900,natural_impact,1974-03-22T21:05:00,S14,MH1;MH2;SHZ,1974-081,0,MH1;MH2;SHZ,,1
levent-07900,natural_impact,1974-03-22T21:05:00,S16,MH1;MH2,1974-081,0,MH1;MH2,,1
levent-07904,natural_impact,1974-03-25T09:10:00,S12,MH1;MH2;MHZ,1974-084,0,MH1;MH2;MHZ,,1
